drug_name,indication_name
histrelin,neoplasm
indinavir,autoimmune disorder
prednisone,polyuria
tobramycin,abdominal infection
ceftriaxone,pneumonia streptococcal
furosemide,jaundice
clomipramine,narcolepsy
chloramphenicol,eye infection
bromfenac,eyelid oedema
sulindac,gout
flucloxacillin,urinary tract infection
vacv,post herpetic neuralgia
cas,renal impairment
minocycline,hordeolum
famotidine,gastrooesophageal reflux disease
5-aza-2'-deoxycytidine,chronic myelomonocytic leukaemia
nitrite,dyspnoea
amlodipine,diabetes mellitus
fluphenazine,brain injury
nifedipine,angina pectoris
metoprolol,supraventricular tachyarrhythmia
trifluoperazine,"schizophrenia, paranoid type"
parecoxib,procedural pain
minocycline,bartonellosis
ethacrynic,heart disease congenital
rivaroxaban,embolism
colestyramine,blood cholesterol increased
primidone,grand mal convulsion
etidronate,osteoporosis
clopidogrel,coronary artery disease
nitroglycerin,acute coronary syndrome
lovastatin,hyperlipidaemia
dexamethasone,dermatitis atopic
timolol,migraine
diazepam,monoplegia
magnesium,pre-eclampsia
pamidronate,hypercalcaemia
fenofibric,obesity
ioversol,renal impairment
magnesium,hypertension
vitamin,coagulation factor decreased
ketorolac,asthma
timolol,cardiac flutter
sodium,small intestinal obstruction
sulfadiazine,nocardiosis
megestrol,weight decreased
tramazoline,seasonal allergy
sulfadiazine,bladder pain
prednisolone,endocrine disorder
clindamycin,herpes simplex
fenoprofen,pain
methylprednisolone,optic neuritis
malvidin,glaucoma
d-penicillamine,hepatic cirrhosis
clonidine,visceral pain
prednisolone,crohn's disease
atropine,atrioventricular block
cortisone,collagen disorder
silver,wound sepsis
doxapram,acute respiratory failure
tiotropium,angle closure glaucoma
amlodipine,vasospasm
trifluoperazine,catatonia
pamidronate,amyloidosis
quinapril,essential hypertension
mometasone,seasonal allergy
naproxen,spondylitis
oseltamivir,cardiac disorder
progesterone,abdominal pain upper
tranexamic,menorrhagia
azithromycin,conjunctivitis bacterial
timolol,hyperkinetic heart syndrome
linagliptin,renal failure
losartan,diabetic nephropathy
gd-dtpa,renal failure
aztreonam,endometritis
captopril,malignant hypertension
clindamycin,abscess
tetraen,arteriosclerosis
atropine,infantile colic
progesterone,oropharyngeal pain
oxycodone,analgesic therapy
octreotide,pancreatitis acute
metoprolol,diabetes mellitus
ranitidine,oesophagitis
bivalirudin,myocardial infarction
sulfasalazine,proctocolitis
ibuprofen,back pain
amiloride,liver disorder
histrelin,urinary tract obstruction
morphine,parkinsonism
tigecycline,soft tissue infection
cosyntropin,muscle atrophy
oxytocin,gestational hypertension
d-penicillamine,kayser-fleischer ring
celecoxib,osteoarthritis
diatrizoate,craniopharyngioma
humalog,type 2 diabetes mellitus
minocycline,gingivitis ulcerative
bivalirudin,heparin-induced thrombocytopenia
alprazolam,dysthymic disorder
nitrite,coma
cefaclor,cystitis noninfective
efavirenz,carcinogenicity
irbesartan,diabetes mellitus
aztreonam,pelvic inflammatory disease
tazarotene,actinic elastosis
oxymorphone,pulmonary oedema
prednisone,fluid retention
esomeprazole,gastrooesophageal reflux disease
penicillin,listeriosis
venlafaxine,feeling guilty
brolene,ophthalmia neonatorum
glimepiride,hyperglycaemia
spironolactone,hirsutism
venlafaxine,malaise
carboplatin,neutropenia
amprenavir,immunodeficiency
tiotropium,cardiac disorder
famotidine,thrombocytopenia
carvedilol,cardiac failure congestive
demeclocycline,typhus
maprotiline,flat affect
losartan,myocardial infarction
carvedilol,tachycardia
isradipine,hypertension
nifedipine,liver disorder
naproxen,vasculitis
lamotrigine,mania
indomethacin,oedema
cosyntropin,pituitary tumour
minocycline,meningitis
eaca,hepatic cirrhosis
clindamycin,vaginal infection
nefazodone,feeling guilty
clarithromycin,mycobacterium avium complex infection
cefdinir,renal failure
doxycycline,granuloma inguinale
doxycycline,gingivitis ulcerative
pilocarpine,sjogren's syndrome
zanamivir,infection
atorvastatin,high density lipoprotein decreased
nitrazepam,epilepsy
methotrexate,bladder cancer
chlorpheniramine,conjunctivitis allergic
scopolamine,motion sickness
carbamazepine,loss of consciousness
lamotrigine,hepatic function abnormal
dofetilide,atrial flutter
acetaminophen,nasal congestion
paliperidone,breast cancer
clindamycin,tooth infection
nadolol,myocardial infarction
zoledronic,spinal fracture
cortisol,berylliosis
hydroxychloroquine,arthritis
amoxapine,depression
sertraline,major depression
ondansetron,neoplasm malignant
carbinoxamine,anaphylactic shock
cefpodoxime,ear infection
tinidazole,foetor hepaticus
isoxsuprine,premature labour
prednisolone,brain cancer metastatic
vitamin,vitamin k deficiency
fluoxetine,suicide attempt
celecoxib,soft tissue injury
vigabatrin,partial seizures
epinephrine,dizziness
rotigotine,parkinson's disease
doxazosin,polyuria
isoniazid,hodgkin's disease lymphocyte predominance type stage unspecified
acyclovir,ophthalmic herpes simplex
fludrocortisone,neoplasm malignant
retinoic,alcohol abuse
hydrochlorothiazide,hepatic cirrhosis
lmwh,angina pectoris
simvastatin,blood cholesterol increased
bupivacaine,pain
prednisone,drug hypersensitivity
silodosin,benign prostatic hyperplasia
paliperidone,schizoaffective disorder
vinorelbine,breast cancer
paclitaxel,neoplasm
propranolol,palpitations
kaluril,polyuria
ropivacaine,procedural pain
salmon,osteoporosis postmenopausal
chlorambucil,dermatitis
"1,25(oh)2d3",osteoporosis postmenopausal
clonidine,agitation
sulfadiazine,wound sepsis
cortisol,dermatitis contact
ticagrelor,electrocardiogram st segment elevation
tacrolimus,lymphoproliferative disorder
dexamethasone,serum sickness
nafarelin,osteoporosis
sodium,cardiac arrest
vancocine,infection
mannitol,renal failure chronic
clindamycin,diarrhoea
nitroglycerin,pulmonary oedema
su5416,thrombocytopenia
triamcinolone,menorrhagia
gemifloxacin,respiratory tract infection
piroxicam,arthritis
methylprednisolone,collagen disorder
minocycline,syphilis
doxycycline,epidemic typhus
cas,diabetes mellitus
phenytoin,arrhythmia
ciprofloxacin,gastrointestinal infection
dexamethasone,adrenogenital syndrome
anidulafungin,peritonitis
ibuprofen,renal failure
flecainide,acute coronary syndrome
diltiazem,coronary artery disease
desipramine,depression
ofloxacin,plague
dexamethasone,anaemia
azathioprine,venoocclusive liver disease
fluvastatin,foetor hepaticus
norethisterone,hormone level abnormal
vitamin,biliary fistula
norfloxacin,gastroenteritis bacterial
diazepam,tremor
5-asa,inflammation
amsacrine,hypokalaemia
minocycline,gonorrhoea
prednisolone,polymyalgia rheumatica
trimethoprim,urinary tract infection
methylprednisolone,iritis
conjugated,neoplasm malignant
doxycycline,malaria
cortisol,pruritus genital
oxybutynin,pollakiuria
oxaliplatin,asthenia
ivermectin,pruritus
posaconazole,acute leukaemia
bupropion,dysthymic disorder
sulfamethoxazole,acquired immunodeficiency syndrome
ertapenem,abdominal infection
conjugated,metastatic neoplasm
methylprednisolone,tenosynovitis
diazepam,alcohol withdrawal syndrome
metformin,type 1 diabetes mellitus
dicloxacillin,staphylococcal infection
desvenlafaxine,disturbance in attention
mupirocin,laceration
meperidine,biliary colic
sofosbuvir,mental disorder
linezolid,decubitus ulcer
fosinopril,protein urine present
famp,renal failure
hydromorphone,acute coronary syndrome
solifenacin,hypertonic bladder
megestrol,autoimmune disorder
repaglinide,blood glucose decreased
irbesartan,hypertension
folate,epilepsy
moxifloxacin,bronchitis chronic
propafenone,arrhythmia
everolimus,neoplasm malignant
histrelin,prostate cancer
etoposide,hodgkin's disease lymphocyte depletion type stage unspecified
lisinopril,cardiac output increased
prednisone,asthma
simvastatin,carotid artery disease
alprazolam,decreased interest
disopyramide,renal impairment
clarithromycin,immunodeficiency
udca,liver injury
salicylate,osteoarthritis
torasemide,cardiac failure congestive
thiothixene,schizophrenia
aliskiren,diabetic nephropathy
nifedipine,electrocardiogram st segment elevation
tetracycline,actinomycosis
oxytetracycline,rheumatic disorder
niacin,myocardial infarction
testosterone,secondary hypogonadism
norfloxacin,cervicitis
thymidine,liver disorder
spironolactone,diabetes mellitus
fusidic,peritonitis
ziprasidone,tension
cefpodoxime,diarrhoea
acyclovir,keratitis
pge2,hypertension
cefuroxime,lower respiratory tract infection
everolimus,tuberous sclerosis
sitagliptin,diabetic ketoacidosis
carvedilol,vasodilation procedure
clonazepam,hot flush
propantheline,gastritis
allopurinol,urate nephropathy
doxycycline,bartonellosis
lovastatin,infarction
baclofen,cerebral palsy
bromocriptine,infertility female
sodium,abdominal pain
famotidine,duodenal ulcer
lithium,agitation
doxazosin,myocardial infarction
lisinopril,blood aldosterone decreased
atovaquone,non-hodgkin's lymphoma
azelastine,sneezing
lymecycline,body temperature increased
fluphenazine,blood disorder
dapagliflozin,cardiovascular disorder
etoricoxib,ankylosing spondylitis
docetaxel,non-small cell lung cancer
dihydroergotamine,myocardial infarction
d-penicillamine,liver injury
indomethacin,gout
captopril,type 2 diabetes mellitus
hydrochlorothiazide,dilatation ventricular
methylergometrine,uterine haemorrhage
famciclovir,scab
chlorhexidine,necrotising ulcerative gingivostomatitis
demethyl,collagen disorder
itraconazole,chronic pulmonary histoplasmosis
amlodipine,cardiac failure congestive
conjugated,osteoporosis
calcium,hyperkalaemia
prednisolone,berylliosis
fosinopril,biliary cirrhosis
roxithromycin,renal impairment
elvitegravir,immunodeficiency
sumatriptan,vomiting
metformin,diabetes mellitus
tenofovir,hepatocellular injury
hydroxychloroquine,plasmodium ovale infection
buspirone,diarrhoea
topotecan,pancreatic carcinoma
epinephrine,pain
leuprorelin,urinary tract obstruction
pge1,patent ductus arteriosus
gabapentin,urinary incontinence
salmeterol,reversible airways obstruction
5-aminolevulinic,malignant glioma
felbamate,convulsion
moxifloxacin,renal failure
cyclophosphamide,chronic myeloid leukaemia
fosinopril,cardiac failure high output
bosentan,hepatotoxicity
conjugated,atrophic vulvovaginitis
sertraline,depersonalisation
estriol,pruritus
mitotane,adrenocortical carcinoma
penicillin,peritonitis
mifepristone,hyperglycaemia
misoprostol,ulcer
cortisol,proctocolitis
hydroxocobalamin,shock
anthracycline,leukaemia
telmisartan,type 2 diabetes mellitus
retinoic,myelodysplastic syndrome
erlotinib,non-small cell lung cancer
prednisolone,enteritis
nizatidine,dyspepsia
methylprednisolone,keloid scar
methazolamide,angle closure glaucoma
amphetamine,mental disorder
salmon,bone pain
triamcinolone,neurodermatitis
indapamide,pre-eclampsia
indomethacin,dysmenorrhoea
nizatidine,duodenal ulcer
aminophylline,emphysema
cortisone,lymphoma
bosutinib,diarrhoea
sertraline,depression
methylprednisolone,bursitis
cefuroxime,respiratory tract infection
dexamethasone,blood disorder
cisplatin,lung neoplasm malignant
trandolapril,renovascular hypertension
atomoxetine,neuroleptic malignant syndrome
sparfloxacin,overgrowth bacterial
desvenlafaxine,insomnia
cortisol,haemorrhoids
felodipine,hyperlipidaemia
doxazosin,essential hypertension
stiripentol,grand mal convulsion
ceftobiprole,diabetic foot infection
sildenafil,hepatic failure
tranexamic,angioedema
azithromycin,bronchitis chronic
carboplatin,nephroblastoma
imiquimod,carcinogenicity
meclofenamate,juvenile idiopathic arthritis
cefuroxime,pathogen resistance
nimodipine,intracranial aneurysm
oxytocin,pregnancy
testolactone,bone lesion
oseltamivir,fatigue
demethyl,neurodermatitis
d-penicillamine,environmental exposure
boceprevir,chronic hepatitis c
norfloxacin,prostatitis
n-3,obesity
reboxetine,major depression
dexamethasone,connective tissue disorder
n-acetylcysteine,hepatotoxicity
olmesartan,myocardial infarction
cyclophosphamide,osteosarcoma
demethyl,laryngeal oedema
miglustat,poor venous access
lenalidomide,embolism venous
alprazolam,anxiety disorder
erythromycin,corynebacterium infection
cefepime,bronchitis
eslicarbazepine,epilepsy
atomoxetine,myoclonus
valsartan,hypertension
disopyramide,bundle branch block
phenobarbital,febrile convulsion
boceprevir,hepatocellular injury
fluphenazine,hypothyroidism
ertapenem,abortion infected
fexofenadine,pruritus
diclofenac,ear infection
ofloxacin,conjunctivitis infective
meperidine,cough
fk463,oesophageal candidiasis
prednisone,sympathetic ophthalmia
gemcitabine,hodgkin's disease
buspirone,muscle strain
levetiracetam,renal impairment
carboplatin,non-hodgkin's lymphoma
gold,arthritis
imipramine,major depression
nitrogen,hodgkin's disease lymphocyte depletion type stage unspecified
cefdinir,acute sinusitis
sodium,respiratory fume inhalation disorder
cefuroxime,streptococcal infection
penicillin,erysipelas
ranitidine,ulcer
hydrochlorothiazide,pre-eclampsia
glimepiride,diabetic ketoacidosis
lasofoxifene,osteoporosis
pge2,hypotension
olsalazine,proctocolitis
clonidine,pain
vacv,pain
glibenclamide,blood glucose decreased
oxprenolol,toxicity to various agents
estrone,atrophy
clarithromycin,tonsillitis
acetaminophen,poor quality sleep
dabrafenib,renal impairment
ticagrelor,angina unstable
doxazosin,angina pectoris
doxycycline,wound sepsis
cyclophosphamide,leukaemia
colestyramine,myocardial infarction
tranylcypromine,disturbance in attention
cortisol,osteoarthritis
calcium,muscle spasms
clozapine,completed suicide
bivalirudin,acute coronary syndrome
retinoic,congenital anomaly
oxytetracycline,rocky mountain spotted fever
imiquimod,xeroderma pigmentosum
tramadol,osteoarthritis
lisinopril,diabetic nephropathy
n-acetylcysteine,atelectasis
azathioprine,purpura
doripenem,urinary tract infection
lioh,hostility
rifaximin,diarrhoea
carboplatin,breast cancer
olsalazine,colitis ulcerative
pimozide,agitation
oestrogen,hormone level abnormal
butorphanol,migraine
metoclopramide,azotaemia
thiamine,neuritis
hydralazine,hypertensive crisis
letrozole,hepatic function abnormal
itraconazole,vulvovaginal candidiasis
eptifibatide,electrocardiogram st segment depression
epinephrine,rash
eletriptan,migraine
chlorpheniramine,urticaria
pilocarpine,angle closure glaucoma
linezolid,cellulitis gangrenous
methylprednisolone,ankylosing spondylitis
rasburicase,neoplasm malignant
penicillin,otitis media
amitriptyline,major depression
refludan,electrocardiogram st segment elevation
rapamycin,renal impairment
foscarnet,autoimmune disorder
sodium,haemoglobin
epitopic,pain
pinaverium,gastrointestinal pain
methylprednisolone,polyuria
nabilone,substance abuse
prednisone,thrombocytopenia
cefotaxime,borrelia infection
cortisol,choroiditis
leuprorelin,uterine leiomyoma
trifluoperazine,tardive dyskinesia
ofloxacin,pneumonia legionella
glucose,blood insulin increased
meclofenamate,bursitis
phentermine,weight decreased
cyclobenzaprine,spinal cord disorder
eletriptan,cluster headache
ceftriaxone,meningitis
dfmo,hirsutism
stavudine,pancreatitis
sufentanil,pain
methylprednisolone,non-hodgkin's lymphoma
azithromycin,nosocomial infection
metronidazole,rash pustular
roxithromycin,tooth infection
malvidin,open angle glaucoma
pge1,coarctation of the aorta
amoxicillin,endocarditis
furosemide,oedema
alprazolam,phobic avoidance
fluvastatin,cardiac death
dihydroergotamine,myalgia
lidocaine,anal pruritus
fosinopril,cardiac index
baclofen,pulmonary function test decreased
captopril,blood aldosterone decreased
prednisolone,mycobacterial infection
nizatidine,oesophagitis
dexamethasone,respiratory failure
cyclobenzaprine,muscle spasticity
gentamicin,wound infection
vilazodone,bradyphrenia
hydrocortisone,psoriasis
cortisol,tenderness
ibuprofen,haemoglobin
demethyl,leukaemia
k779,hepatitis b e antigen positive
zoledronic,multiple fractures
chlorambucil,lymphocytic leukaemia
cephalexin,prostatitis
spironolactone,hypotension
metrodin,secondary hypogonadism
lovastatin,carotid artery disease
ciprofloxacin,abdominal infection
oseltamivir,cough
topotecan,neoplasm malignant
nifedipine,angina unstable
cytarabine,lymphoma
mirtazapine,anxiety
temozolomide,malignant glioma
quinaprilat,hyperlipidaemia
lovastatin,type iib hyperlipidaemia
flucloxacillin,ulcer
bleomycin,pleural effusion
methylprednisolone,azotaemia
sulfacetamide,seborrhoeic dermatitis
carboprost,uterine hypotonus
prazosin,cardiac failure
mitoxantrone,liver disorder
estradiol,hypogonadism
lidocaine,herpes zoster
fk463,peritonitis
indacaterol,bronchitis chronic
epinephrine,agitation
cyclophosphamide,renal impairment
azithromycin,urethritis noninfective
cefixime,tonsillitis
metoclopramide,nausea
ranolazine,acute coronary syndrome
streptomycin,infection
aspirin,cardiac disorder
prednisolone,acute leukaemia
topotecan,metastatic neoplasm
rapamycin,ovarian cyst
estradiol,dysuria
piperacillin,pelvic inflammatory disease
prednisolone,meningitis tuberculous
chlorpromazine,tetanus
pentoxifylline,skin ulcer
glucose,hypoglycaemia
acetazolamide,cardiac failure congestive
phenylazo,urinary tract infection
dexamethasone,transfusion reaction
pravastatin,type iii hyperlipidaemia
triamcinolone,juvenile idiopathic arthritis
labetalol,renal impairment
fenofibrate,carotid artery disease
zaleplon,insomnia
ketotifen,conjunctivitis allergic
prednisolone,stevens-johnson syndrome
darunavir,infection
68ga,hypercalcaemia
iodixanol,craniopharyngioma
azathioprine,arthritis
clindamycin,peritonitis
glucose,renal impairment
acetaminophen,neuralgia
trametinib,metastatic malignant melanoma
hydroxocobalamin,poisoning
valproate,bipolar i disorder
atropine,bronchospasm
sulfadiazine,infection
trametinib,glucose-6-phosphate dehydrogenase deficiency
flunisolide,asthma
phenylbutyric,amino acid metabolism disorder
atropine,rhinorrhoea
cytarabine,meningeal neoplasm
metoclopramide,decreased appetite
etoposide,lymphocytic leukaemia
doxycycline,queensland tick typhus
prazosin,renal impairment
atorvastatin,peripheral vascular disorder
theophylline,bronchial hyperreactivity
zyprexa,mania
amiodarone,ventricular tachycardia
vilazodone,mental disability
ketoconazole,candiduria
amlodipine,arteriospasm coronary
famotidine,confusional state
acth(1-39,nephrotic syndrome
zanamivir,bronchial hyperreactivity
penicillin,actinomycosis
meropenem,peritonitis
losartan,hypersensitivity
sulfasalazine,nausea
trifluoperazine,tension
thymidine,fibrosis
doxazosin,benign prostatic hyperplasia
dantrolene,cerebrovascular accident
pamidronate,metastatic pain
lidocaine,urethritis noninfective
gentamicin,renal failure
progesterone,pain
acitretin,palmoplantar keratoderma
diclofenac,photophobia
ciprofloxacin,pneumonia anthrax
bupivacaine,wound
vecuronium,hypotonia
ibuprofen,pain
captopril,cardiac failure
ixabepilone,neoplasm
sevoflurane,convulsion
ly146032,meningitis
rifampicin,meningococcal infection
oxytocin,uterine atony
fluconazole,fungal infection
tranexamic,haemophilia
acyclovir,ulcer
goserelin,breast cancer
doxycycline,plasmodium falciparum infection
pentosan,discomfort
gemcitabine,cervix carcinoma
epinephrine,parkinsonism
ioversol,convulsion
ticlopidine,neutropenia
dexamethasone,skin disorder
glimepiride,diabetes mellitus
epinephrine,parkinson's disease
thyroxine,thyroiditis subacute
zuclopenthixol,mania
cyclophosphamide,acute leukaemia
colimycin,infection
propericiazine,schizophrenia
sulfadiazine,burns third degree
nadolol,hyperlipidaemia
lovastatin,menarche
codeine,pain
dopamine,vascular resistance systemic
ambrisentan,pulmonary arterial hypertension
tazarotene,psoriasis
amantadine,cor pulmonale
octreotide,swelling
azathioprine,polyarteritis nodosa
k779,chronic hepatitis b
lidocaine,oropharyngeal pain
clomipramine,obsessive thoughts
trandolaprilat,renal failure
etodolac,rheumatoid arthritis
hydralazine,tachycardia
tobramycin,lung infection
atorvastatin,carotid artery disease
fluphenazine,angina pectoris
baclofen,spinal cord injury
trimethoprim-sulfamethoxazole,cholera
retinoic,actinic keratosis
ogen,fatigue
verapamil,atrial flutter
amantadine,poisoning
acth(1-39,polymyositis
cortisone,nephrotic syndrome
idarubicin,chest pain
dexamethasone,ankylosing spondylitis
atropine,gastrointestinal disorder
acyclovir,papule
clopidogrel,neutropenia
ivermectin,onchocerciasis
propericiazine,psychotic disorder
furosemide,renal impairment
fludarabine,lymphoma
capsaicin,neuralgia
cortisone,psoriatic arthropathy
pyrazinamide,tuberculosis
alprazolam,anxiety
cetirizine,conjunctivitis allergic
cas,cardiac failure
betamethasone,seborrhoeic dermatitis
imipramine,enuresis
terazosin,neurogenic bladder
epinephrine,laryngospasm
diphenhydramine,anaphylactic shock
ceftazidime,endometritis
terbutaline,bronchospasm
carbamazepine,affective disorder
azithromycin,infection
disopyramide,hypersensitivity
clofarabine,acute leukaemia
colestyramine,acute coronary syndrome
fluconazole,hepatitis
paliperidone,malaise
5-azacytidine,neutropenia
demethyl,tenderness
clobazam,epilepsy
demethyl,non-hodgkin's lymphoma
tiopronin,cystinuria
warfarin,cerebral artery embolism
phenylephrine,mydriasis
montelukast,suicidal ideation
cysteamine,renal failure
topotecan,glioma
sodium,tachypnoea
misoprostol,gastrointestinal pain
triamterene,polyuria
hydroxychloroquine,plasmodium falciparum infection
loperamide,diarrhoea
teniposide,acute lymphocytic leukaemia
epitopic,iridocyclitis
itraconazole,hepatic enzyme abnormal
cortisol,gastrointestinal disorder
v,glomerulonephritis membranous
ponatinib,chromosome analysis abnormal
lomitapide,type iia hyperlipidaemia
ferumoxytol,renal failure chronic
gadobenate,metastatic neoplasm
famciclovir,oral herpes
chlorthalidone,ascites
pioglitazone,hepatocellular injury
doxycycline,periodontal disease
medroxyprogesterone,menopausal symptoms
dipyridamole,myocardial infarction
atorvastatin,type iia hyperlipidaemia
diazepam,convulsion in childhood
telmisartan,essential hypertension
rifaximin,infection
metoclopramide,procedural vomiting
cefpodoxime,skin infection
atovaquone,autoimmune disorder
ranitidine,upper gastrointestinal haemorrhage
atovaquone,mycotic aneurysm
mesna,cystitis haemorrhagic
fty720,secondary progressive multiple sclerosis
venlafaxine,social phobia
losartan,protein urine present
fusidic,conjunctivitis
cerivastatin,coronary artery disease
quinidine,babesiosis
furosemide,systemic lupus erythematosus
chlorpromazine,conduct disorder
cefotaxime,cns ventriculitis
ethacrynic,nephropathy
cortisone,conjunctivitis allergic
gliclazide,platelet adhesiveness
dolasetron,nausea
diatrizoate,urinary tract obstruction
lactulose,poisoning
irinotecan,dyspnoea
carbidopa,vomiting
repaglinide,hyperglycaemia
doripenem,bacteraemia
cabergoline,amenorrhoea
doxycycline,plague
acyclovir,fatigue
flecainide,nodal arrhythmia
nicotine,non-tobacco user
acth(1-39,oedema
nitroglycerin,tachycardia
minocycline,respiratory tract infection
aminophylline,hepatocellular injury
famotidine,sleep disorder
morphine,miosis
allopurinol,blood disorder
vincristine,malignant melanoma
alprazolam,tenderness
colimycin,lung infection
phenytoin,poisoning
indinavir,acquired immunodeficiency syndrome
nitroglycerin,left ventricular failure
methyl,seborrhoeic keratosis
verapamil,atrial fibrillation
arginine,craniopharyngioma
gentamicin,dermal cyst
pyridostigmine,urinary retention
simvastatin,high density lipoprotein decreased
insulin,feeling abnormal
chlorpheniramine,dermatitis atopic
flucloxacillin,infection
diazepam,athetosis
ketoconazole,body tinea
gemfibrozil,high density lipoprotein decreased
dexamethasone,rosacea
atropine,central nervous system lesion
ramipril,renal failure
deferoxamine,iron overload
octreotide,hypoglycaemia
fludrocortisone,adrenogenital syndrome
demethyl,dermatitis contact
cyclophosphamide,transplant rejection
demeclocycline,necrotising ulcerative gingivostomatitis
nitroglycerin,tension
estramustine,neoplasm
benzathine,urticaria
chlorpheniramine,rhinitis seasonal
tobramycin,cystic fibrosis
ziprasidone,cardiac disorder
azelastine,nasopharyngitis
prednisolone,psoriasis
rosuvastatin,diabetes mellitus
eslicarbazepine,diphtheria
meperidine,diarrhoea
cerivastatin,hypertension
estriol,menopausal symptoms
glucose,metabolic alkalosis
aztreonam,abdominal infection
doxycycline,urethritis noninfective
esmolol,atrial flutter
verapamil,infarction
retigabine,convulsion
azithromycin,rheumatic fever
nicotine,acute coronary syndrome
technetium-99m,body temperature increased
flecainide,tachyarrhythmia
prednisolone,idiopathic pulmonary fibrosis
desvenlafaxine,agitation
methylprednisolone,pneumonia aspiration
mitoxantrone,prostate cancer
dalteparin,venous thrombosis
metronidazole,endocarditis
aztreonam,asymptomatic bacteriuria
amiloride,foetor hepaticus
bcnu,ependymoma
demethyl,alopecia areata
azithromycin,pneumonia
clonazepam,infantile spasms
imatinib,gastrointestinal stromal tumour
clofazimine,lepromatous leprosy
cyclophosphamide,mycosis fungoides
ranitidine,duodenal ulcer
cyanocobalamin,parasitic gastroenteritis
fenofibric,hypertriglyceridaemia
pilocarpine,miosis
olanzapine,hyperlipidaemia
lactulose,neuropsychiatric syndrome
cortisol,brain cancer metastatic
pentoxifylline,gangrene
propranolol,essential tremor
hydralazine,cerebrovascular accident
tiotropium,myocardial ischaemia
acetohydroxamic,urinary tract infection
doxycycline,cystitis
metronidazole,pneumonia
prednisone,azotaemia
cytarabine,non-hodgkin's lymphoma
prednisone,loeffler's syndrome
cas,hypotension
estradiol,hyperprolactinaemia
lisuride,infertility
quetiapine,cogwheel rigidity
atropine,neurogenic bladder
penicillin,gas gangrene
gefitinib,haemoglobin
fusidic,cystic fibrosis
zopiclone,middle insomnia
prednisolone,proctocolitis
sulindac,bursitis
cefepime,renal failure
valsartan,diabetic nephropathy
fosphenytoin,confusional state
lurasidone,mania
rosuvastatin,type ii hyperlipidaemia
roxithromycin,urethritis
atenolol,foetor hepaticus
nifedipine,hypotension
lymecycline,infection
doxapram,hypercapnia
testosterone,gamma-glutamyltransferase increased
spironolactone,pre-eclampsia
loteprednol,cyclitis
penicillin,endocarditis bacterial
triamcinolone,metastases to central nervous system
polythiazide,hypertension
vacv,papule
leflunomide,joint swelling
sotalol,myocardial ischaemia
potassium,haemorrhage
cefpodoxime,otitis media acute
tamoxifen,breast cancer
famciclovir,tenderness
tiagabine,electroencephalogram abnormal
ogen,atrophy
metoclopramide,diabetes mellitus
methylprednisolone,drug hypersensitivity
pamidronate,cardiac failure
clodronate,plasmacytoma
eplerenone,myocardial infarction
desmopressin,pollakiuria
dexamethasone,swelling
penicillin,pneumonia anthrax
dalteparin,acute coronary syndrome
vancocine,staphylococcal infection
ifosfamide,lymphoma
propranolol,loss of consciousness
lincomycin,diphtheria
sitagliptin,renal failure chronic
cosyntropin,stress
chlorambucil,ovarian epithelial cancer
diazoxide,hypertensive crisis
topiramate,tension
"1,25(oh)2d3",hypophosphataemic rickets
desloratadine,rhinitis seasonal
anidulafungin,fungal infection
cancidas,oesophageal candidiasis
atorvastatin,agitation
cyclizine,regurgitation
fluphenazine,hepatocellular injury
oxcarbazepine,partial seizures
mk-462,aura
clindamycin,cellulitis
losartan,left ventricular hypertrophy
sodium,poisoning
ramipril,left ventricular dysfunction
famciclovir,pain
prednisone,rheumatoid arthritis
revasc,haemorrhage
loteprednol,oedema
miglustat,gaucher's disease
famotidine,renal failure chronic
pci-32765,chronic lymphocytic leukaemia
formoterol,emphysema
erythromycin,ophthalmia neonatorum
erythromycin,stress
monomycin,lower respiratory tract infection
bezafibrate,renal failure
saxagliptin,renal failure
ici,breast cancer stage iv
midazolam,somnolence
dexamethasone,punctate keratitis
pioglitazone,diabetic ketoacidosis
furosemide,immobile
technetium-99m,jaundice
demethyl,ophthalmic herpes zoster
prednisone,hypoplastic anaemia
tazarotene,lentigo maligna
cimetidine,hyperchlorhydria
testosterone,libido decreased
lutalyse,foetal death
fty720,disability
diazoxide,hyperplasia
deferoxamine,haemochromatosis
gemfibrozil,myocardial infarction
rufinamide,epilepsy
refludan,thrombocytopenia
d-telaprevir,foetor hepaticus
demethyl,trichiniasis
cisplatin,renal cancer
methylprednisolone,gouty arthritis
choline,non-tobacco user
aspirin,arthritis
dexamethasone,meningitis tuberculous
carboplatin,lymphoma
x,chronic myeloid leukaemia
oxprenolol,arrhythmia
metoprolol,hyperthyroidism
demethyl,erythema multiforme
mirtazapine,feeling abnormal
captopril,retinal disorder
furosemide,renal failure chronic
theophylline,lung disorder
gemcitabine,lung neoplasm malignant
trabectedin,sarcoma
progesterone,vaginal infection
rosuvastatin,blood triglycerides increased
progesterone,breast pain
dexamethasone,epicondylitis
domperidone,parkinsonism
lisinopril,pregnancy
sotalol,pulmonary arterial wedge pressure increased
epinephrine,dermatitis
sertraline,drug interaction
doxorubicin,thymoma
nafarelin,amenorrhoea
minocycline,lung abscess
aspirin,osteoarthritis
omeprazole,gastrooesophageal reflux disease
ofloxacin,cystitis
conjugated,oestrogen deficiency
insulin,pollakiuria
cortisone,haemolytic anaemia
dasatinib,leukaemia
ceftazidime,bladder pain
