drug_name,indication_name
zidovudine,autoimmune disorder
telmisartan,cardiovascular disorder
benzonatate,poisoning
loratadine,sneezing
rivastigmine,vomiting
alprazolam,mental disorder
pregabalin,post herpetic neuralgia
venlafaxine,tremor
dexamethasone,arthropod bite
k779,metastases to liver
strontium,osteoporosis
medroxyprogesterone,haemorrhage urinary tract
paroxetine,sleep disorder
nefazodone,hypersomnia
fluphenazine,renal impairment
demethyl,proctocolitis
acetaminophen,oropharyngeal discomfort
piroxicam,ankylosing spondylitis
progesterone,fatigue
azithromycin,obstructive airways disorder
topiramate,lennox-gastaut syndrome
sodium,toxicity to various agents
aripiprazole,bipolar i disorder
bleomycin,neoplasm
tacrolimus,neoplasm malignant
nelarabine,t-cell type acute leukaemia
doxepin,pruritus
mitoxantrone,non-hodgkin's lymphoma
demethyl,arthritis
carbidopa,poisoning
cefotaxime,infection
olanzapine,depression
travoprost,open angle glaucoma
citalopram,sleep disorder
fosinopril,cardiac output increased
salbutamol,sinus tachycardia
paroxetine,suicide attempt
donepezil,dementia
paroxetine,drug abuse
desmopressin,nasal congestion
mirtazapine,confusional state
paroxetine,discomfort
temozolomide,anaplastic astrocytoma
tetracycline,yaws
amphotericin,histoplasmosis
fluvoxamine,panic attack
prednisone,musculoskeletal stiffness
amantadine,immunodeficiency
apraclonidine,tachyphylaxis
duloxetine,anxiety disorder
sitaxsentan,connective tissue disorder
fosinopril,blood pressure increased
fluticasone,eczema
bosentan,scleroderma
methylprednisolone,dermatomyositis
ofloxacin,urethritis
propafenone,cardiac disorder
fentanyl,mental disorder
betahistine,vertigo
phenylephrine,accommodation disorder
fosphenytoin,hyperglycaemia
tacrolimus,graft versus host disease
metronidazole,nervousness
clarithromycin,renal impairment
valproate,major depression
naproxen,juvenile idiopathic arthritis
phenobarbital,tension
prednisone,rheumatic fever
famotidine,angioedema
fluoxetine,premenstrual dysphoric disorder
paroxetine,panic reaction
pilocarpine,dry mouth
tacrolimus,hepatic function abnormal
citalopram,cognitive disorder
acth(1-39,iritis
imatinib,infection
omeprazole,foetor hepaticus
mefloquine,plasmodium malariae infection
prednisone,conjunctivitis allergic
doxycycline,impetigo
diclofenac,renal impairment
methylprednisolone,chorioretinitis
eplerenone,diabetes mellitus
hydroxyurea,neoplasm malignant
diphenhydramine,sneezing
benazeprilat,hypertension
allopurinol,gouty arthritis
desmopressin,rhinitis atrophic
atenolol,tachycardia
cyclophosphamide,thymoma
paclitaxel,electrocardiogram normal
cimetidine,gastrinoma
paroxetine,dizziness
etoposide,renal impairment
valsartan,acute coronary syndrome
dexamethasone,metastases to central nervous system
prednisone,thrombocytopenic purpura
cortisol,dermatitis exfoliative
doxorubicin,pancreatic carcinoma
dexamethasone,hypersensitivity
amphetamine,agitation
lenalidomide,embolism
paroxetine,decreased interest
dabigatran,pulmonary embolism
moxifloxacin,conjunctivitis infective
paroxetine,hot flush
sumatriptan,photophobia
k779,hepatic necrosis
sodium,diabetes mellitus
5-asa,colitis
memantine,epilepsy
alprazolam,social phobia
citalopram,amnesia
carboplatin,neoplasm malignant
amikacin,urinary tract infection
demethyl,granuloma
dihydroergotamine,vasospasm
doxepin,alcohol abuse
citalopram,dysphoria
oxycodone,pruritus
irinotecan,cardiac disorder
paroxetine,dysthymic disorder
acitretin,developmental delay
retinoic,dry skin
doxazosin,diabetic nephropathy
imiquimod,actinic keratosis
oxytetracycline,pneumonia chlamydial
posaconazole,haematological malignancy
risperidone,mental disability
dexamethasone,arthritis
prednisolone,ophthalmic herpes simplex
testosterone,erectile dysfunction
deprenyl,insomnia
amphotericin,candida infection
fluconazole,tinea versicolour
posaconazole,chromoblastomycosis
pregabalin,renal failure
aztreonam,peritonitis
isoniazid,tuberculosis
exenatide,type 1 diabetes mellitus
pentoxifylline,arterial occlusive disease
clindamycin,vaginitis bacterial
l-dmp,feeling guilty
indomethacin,patent ductus arteriosus
venlafaxine,bradyphrenia
tacrolimus,type iv hypersensitivity reaction
fluoxetine,dysthymic disorder
pregabalin,epilepsy
clomipramine,major depression
risperidone,agitation
risperidone,parkinson's disease
irbesartan,hyperkalaemia
misoprostol,gastric ulcer
ibuprofen,autoimmune disorder
tamoxifen,breast cancer stage iv
quetiapine,mental disorder
mersyndol,injury
tiagabine,epilepsy
methotrexate,metastatic neoplasm
hepatitis,viral infection
valproate,psychotic disorder
aminophylline,nervous system disorder
risperidone,anxiety
irinotecan,neoplasm
gadobenate,renal impairment
demethyl,neoplasm malignant
mipomersen,type iia hyperlipidaemia
posaconazole,neutropenia
ropinirole,hypotension
diltiazem,agitation
posaconazole,coccidioidomycosis
ticlopidine,thrombosis
dexamethasone,neonatal respiratory distress syndrome
clomipramine,obsessive-compulsive disorder
fluticasone,seasonal allergy
citalopram,cerebral artery embolism
sertraline,choking sensation
zolpidem,insomnia
etidronate,arthralgia
d-penicillamine,neurological symptom
metronidazole,parametritis
tinidazole,hepatic amoebiasis
clonazepam,status epilepticus
cefotaxime,cystitis
fluoxetine,agoraphobia
diclofenac,arthritis
cetirizine,rhinitis perennial
amphotericin,body temperature increased
hydroxyurea,renal impairment
propranolol,hypotension
ketorolac,injury
rizatriptan,migraine
5-azacytidine,myeloproliferative disorder
atomoxetine,mydriasis
l-dmp,derealisation
tetrabenazine,chorea
vacv,ophthalmic herpes zoster
alosetron,faecal incontinence
etoricoxib,pain
docetaxel,vomiting
eprosartan,leukopenia
atorvastatin,hypothyroidism
estradiol,cerebrovascular accident
lansoprazole,oesophagitis
bumetanide,nephropathy
k779,malignant melanoma
ciprofloxacin,bronchitis
sertraline,chest pain
valsartan,cardiac failure
alprazolam,dizziness
fluvoxamine,convulsion
eptifibatide,electrocardiogram st segment elevation
fentanyl,pain
verteporfin,choroidal neovascularisation
gemcitabine,adenocarcinoma pancreas
ibandronate,osteoporotic fracture
diatrizoate,hypersensitivity
duloxetine,diabetes mellitus
risperidone,psychotic disorder
sotalol,renal failure
cefdinir,rheumatic disorder
cefaclor,pyelonephritis
insulin,depressed level of consciousness
meloxicam,pain
paroxetine,tension
ibuprofen,connective tissue disorder
prednisolone,ophthalmic herpes zoster
paliperidone,schizophrenia
morphine,injection site haemorrhage
cyclophosphamide,bladder cancer
olanzapine,extrapyramidal disorder
trandolapril,left ventricular dysfunction
monomycin,diphtheria
fenofibrate,renal impairment
pamidronate,hyperparathyroidism
ofatumumab,chronic lymphocytic leukaemia
doxorubicin,malaise
deprenyl,decreased interest
metipranolol,open angle glaucoma
pentamidine,african trypanosomiasis
gabapentin,neuralgia
propafenone,hepatic failure
demethyl,pulmonary tuberculosis
triamcinolone,secondary adrenocortical insufficiency
gentamicin,staphylococcal infection
diclofenac,ankylosing spondylitis
sertraline,obsessive rumination
alprazolam,panic disorder
gemcitabine,hepatic failure
anidulafungin,oesophageal candidiasis
paroxetine,exaggerated startle response
tolbutamide,hyperglycaemia
methylphenidate,nervous system disorder
itraconazole,azotaemia
salmon,compression fracture
ticlopidine,thrombotic thrombocytopenic purpura
methylprednisolone,rheumatic heart disease
metrodin,amenorrhoea
diltiazem,prinzmetal angina
d-penicillamine,hepatocellular injury
topotecan,cervix carcinoma
famciclovir,pruritus
trabectedin,ovarian cancer
paclitaxel,autoimmune disorder
topiramate,nervousness
diazepam,cerebral palsy
pyridostigmine,breast feeding
topiramate,fatigue
testosterone,hypogonadism male
sunitinib,gastrointestinal stromal tumour
bupropion,depression
fluoxetine,agitation
topotecan,plasmacytoma
posaconazole,oropharyngeal candidiasis
clomiphene,pregnancy
gentamicin,folliculitis
rosuvastatin,hyperlipidaemia
clomiphene,testicular neoplasm
tacrolimus,infection
cyanocobalamin,pernicious anaemia
azelastine,rhinorrhoea
disopyramide,infarction
quetiapine,bipolar i disorder
retinoic,telangiectasia
mitoxantrone,acute lymphocytic leukaemia
diltiazem,wolff-parkinson-white syndrome
etoposide,hypersensitivity
retinoic,alcoholism
sunitinib,convulsion
doxorubicin,bladder transitional cell carcinoma
trandolapril,renal artery stenosis
rapamycin,skin cancer
prednisone,protein urine present
methylprednisolone,polymyalgia rheumatica
eptifibatide,chest pain
tiotropium,dyspnoea
cefpodoxime,abscess
lantus,hyperglycaemia
bromocriptine,amenorrhoea
oseltamivir,influenza
triamcinolone,psoriasis
progesterone,oestrogenic effect
l-dmp,decreased interest
deprenyl,agitation
cefazolin,urinary tract infection
ertapenem,pneumonia
ertapenem,bacterial infection
niacin,nicotinic acid deficiency
phenobarbital,vomiting
aspirin,migraine
cortisol,metastases to central nervous system
cortisone,azotaemia
fosinopril,renal failure chronic
telithromycin,acute sinusitis
lanreotide,liver disorder
zyprexa,movement disorder
boceprevir,neutropenia
rasagiline,parkinsonism
famp,chronic lymphocytic leukaemia
lithium,hostility
gentamicin,endocarditis
doxorubicin,renal cancer
paroxetine,obsessive thoughts
risperidone,distractibility
alprazolam,mass
captopril,diabetic nephropathy
simvastatin,cerebrovascular accident
etoposide,lymphoma
morphine,diarrhoea
cyclophosphamide,non-hodgkin's lymphoma
deferoxamine,bone disorder
estradiol,deep vein thrombosis
risperidone,mental retardation
metronidazole,bacterial sepsis
fluticasone,glaucoma
azarga,open angle glaucoma
metronidazole,vaginal inflammation
frovatriptan,aura
morphine,euphoric mood
naproxen,gout
hydralazine,orthostatic hypotension
ziprasidone,myocardial infarction
linezolid,infection
octreotide,thymoma
minocycline,anthrax
methylprednisolone,dermatitis bullous
azathioprine,dermatomyositis
cefepime,pyelonephritis
rabeprazole,gastritis
alprazolam,discomfort
telmisartan,cardiac failure
ciprofloxacin,osteomyelitis
octreotide,metastasis
amphotericin,menorrhagia
citalopram,anxiety
aminophylline,bronchial hyperreactivity
prednisone,pneumonia
cortisol,photosensitivity reaction
ogen,menopause
amphotericin,oral candidiasis
roxithromycin,tracheobronchitis
octreotide,varices oesophageal
dexamethasone,pancreatitis
simvastatin,hyperlipidaemia
acyclovir,eczema
prednisone,herpes zoster
citalopram,fatigue
zidovudine,pregnancy
azithromycin,atypical pneumonia
quetiapine,white blood cell count decreased
estradiol,breast cancer
morphine,affect lability
fluoxetine,nephropathy
paroxetine,performance fear
methotrexate,osteosarcoma
ketotifen,inflammation
amphotericin,mucocutaneous leishmaniasis
salmon,osteitis deformans
azithromycin,pertussis
venlafaxine,drug abuse
doxycycline,chancroid
bupropion,insomnia
diazepam,irritability
cefuroxime,tonsillitis
morphine,cough
dalteparin,injury
paliperidone,pituitary tumour
digoxin,cardiac failure
quetiapine,dementia
sodium,dissociation
amiodarone,drug interaction
clindamycin,abdominal abscess
fluoxetine,panic disorder
dantrolene,tachycardia
tobramycin,gastrointestinal infection
atropine,enterocolitis
cyclophosphamide,autoimmune disorder
valdecoxib,arthritis
lamotrigine,parkinsonism
triamcinolone,bursitis
diltiazem,angina pectoris
estradiol,angiopathy
furosemide,hypoproteinaemia
fluoxetine,chills
itraconazole,infection
clonidine,attention deficit/hyperactivity disorder
bupivacaine,respiratory arrest
indapamide,hypokalaemia
amantadine,pneumonia
ibuprofen,toothache
letrozole,hepatic cirrhosis
ceftriaxone,cholecystitis chronic
norfloxacin,epididymitis
droperidol,aggression
prednisone,proteinuria
prednisolone,inflammation
cosyntropin,enteritis
vacv,congenital herpes simplex infection
ofloxacin,urinary tract infection
olanzapine,mania
methylphenidate,mental disability
risedronate,osteoporotic fracture
nifedipine,hypovolaemia
lomefloxacin,infection
triamcinolone,dermatitis atopic
sertraline,feeling guilty
testosterone,tenderness
leflunomide,enzyme inhibition
doxazosin,acute coronary syndrome
bivalirudin,angina unstable
doxycycline,respiratory tract infection
cas,angina unstable
mitoxantrone,neoplasm malignant
valproate,headache
topotecan,non-small cell lung cancer
diltiazem,vascular resistance systemic
zuclopenthixol,senile dementia
telithromycin,tonsillitis
5-aza-2'-deoxycytidine,hepatic function abnormal
demethyl,multiple sclerosis
itraconazole,body temperature increased
leflunomide,renal failure
methylprednisolone,eosinophilic pneumonia
mexiletine,ventricular tachycardia
estriol,night sweats
aminophylline,foetor hepaticus
lovastatin,carotid arteriosclerosis
pantoprazole,gastric ulcer
ciclopirox,tinea cruris
busulfan,breast cancer
estradiol,atrophy
niacin,peptic ulcer
metronidazole,empyema
metoprolol,myocardial ischaemia
anthracycline,rhabdomyosarcoma
venlafaxine,agitation
ciprofloxacin,gastroenteritis
indapamide,oedema
rifampicin,culture positive
oxycodone,drug interaction
udca,breast mass
formoterol,bronchial hyperreactivity
levobunolol,ocular hypertension
forteo,hip fracture
bupivacaine,chills
tranexamic,pancreatic carcinoma
vacv,herpes virus infection
nafarelin,adrenogenital syndrome
ampicillin,gonorrhoea
aprepitant,neoplasm malignant
estradiol,hot flush
irbesartan,liver disorder
dalteparin,angina pectoris
diclofenac,foetor hepaticus
testosterone,application site erythema
cisplatin,non-hodgkin's lymphoma
aprepitant,procedural nausea
k779,neoplasm
naltrexone,alcoholism
trisequens,fracture
deferoxamine,haemosiderosis
famp,non-hodgkin's lymphoma
aripiprazole,aggression
nandrolone,breast cancer
rifabutin,mycobacterial infection
melphalan,ovarian epithelial cancer
medroxyprogesterone,breast cancer stage iv
paroxetine,hyperhidrosis
lubiprostone,functional gastrointestinal disorder
paclitaxel,nephropathy
fluoxetine,vomiting
dexamethasone,shock
tobramycin,infection
amlodipine,peripheral vascular disorder
moxifloxacin,liver disorder
ziprasidone,torsade de pointes
venlafaxine,sensory loss
cortisol,optic neuritis
minocycline,cystitis noninfective
topiramate,asthenia
rizatriptan,cluster headache
triamcinolone,dermatitis contact
voriconazole,candida infection
azelastine,pruritus
allopurinol,blood uric acid increased
bisoprolol,asthma
ceftaroline,pneumonia bacterial
stavudine,lactic acidosis
colestyramine,pruritus
nefazodone,decreased interest
prednisone,non-hodgkin's lymphoma
l-dmp,choking sensation
ropinirole,vomiting
carvedilol,left ventricular dysfunction
paroxetine,affective disorder
bupropion,bronchial hyperreactivity
bcnu,drug interaction
progesterone,musculoskeletal discomfort
baclofen,hypertonia
duloxetine,diabetic neuropathy
diazepam,emotional distress
apixaban,deep vein thrombosis
testosterone,prostatomegaly
clobetasone,neurodermatitis
clobetasol,erythema
mitoxantrone,lymphocytic leukaemia
abacavir,drug interaction
metoprolol,supraventricular tachycardia
nefazodone,disturbance in attention
methylprednisolone,pneumocystis jirovecii pneumonia
topiramate,cluster headache
risperidone,abnormal behaviour
lamotrigine,lennox-gastaut syndrome
mirtazapine,renal failure
melphalan,plasma cell myeloma
diclofenac,rheumatic disorder
penicillin,gonorrhoea
sulfadiazine,rheumatic fever
atomoxetine,agitation
ribavirin,influenza
carboplatin,cervix carcinoma
gefitinib,neoplasm malignant
carbamazepine,pain
ceftazidime,soft tissue infection
aspirin,angina unstable
dexamethasone,head injury
ge-132,infection
sorafenib,cerebrovascular accident
clomiphene,thyroid disorder
doxycycline,tularaemia
methylprednisolone,inflammatory bowel disease
nebivolol,hypertension
sertraline,affective disorder
mupirocin,epidermolysis bullosa
estradiol,phlebitis
paclitaxel,ovarian epithelial cancer stage iv
maprotiline,affective disorder
amphetamine,hyperkinesia
furosemide,acute pulmonary oedema
doxycycline,urethritis gonococcal
fluoxetine,myalgia
cabergoline,pituitary tumour benign
bupropion,suicide attempt
lisinopril,coronary artery disease
oxaliplatin,colon cancer
benazeprilat,renal impairment
niacin,hypertriglyceridaemia
dexamethasone,neurodermatitis
doxycycline,rash pustular
sertraline,dysthymic disorder
ibuprofen,uterine pain
vancocine,endocarditis bacterial
demethyl,rhinitis perennial
retinoic,skin wrinkling
ivermectin,skin mass
ciprofloxacin,prostatitis
prochlorperazine,migraine
fludrocortisone,breast cancer
trandolapril,renal failure
hydroxybutyrate,somnolence
procainamide,ventricular arrhythmia
sertraline,dizziness
docetaxel,metastatic squamous cell carcinoma
nicotine,renal impairment
doxycycline,haemorrhage
venlafaxine,panic disorder
doxazosin,cardiac failure
cisplatin,lymphoma
dalteparin,pulmonary embolism
gabapentin,hypersensitivity
